Name of the Material/Component,Quantity,Reference Link,Additional Note
ESP 32,1,https://robocraze.com/products/esp32-development-board?variant=40193649803417&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqETLKRAx81stshzoAqEMWzn_2nlqTmomswApdgMzcBudeVBUjuwMQ,Main microcontroller on which the project is based
RGB LEDs,2,https://robu.in/product/ws2812b-rgb-addressable-led-module/,RGB LEDs provide visual cues to the rider and blink in certain patterns telling the driver when to make turns
Battery Charging Module,1,https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/,To charge the battery
LiPo Battery,1,https://robu.in/product/wly602540-600mah-3-7v-single-cell-rechargeable-lipo-battery/,Battery to power the circuit
DC Booster,1,https://robu.in/product/xl6009-dc-dc-step-up-converter-performance-ultra-lm2577-booster-circuit-board/,To boost the 3.7V voltage of the battery to 5V to power the ESP 32
Slide switch,1,https://robu.in/product/slide-switch-sk-09/,To turn the circuit on/off 
